                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,,F1-score
41,0.87982,0.52167,1.1551,0.95564,0.9243,0.96042,0.641,1.2803,0.66756,1.3817,0.00034674,0.00034674,0.00034674,,0.939708769
42,0.90296,0.52194,1.1414,0.94866,0.91698,0.95005,0.63994,1.2893,0.68895,1.39,0.00031373,0.00031373,0.00031373,,0.932551025
43,0.87846,0.4882,1.1291,0.96609,0.91343,0.94248,0.63015,1.3102,0.73304,1.4362,0.00028072,0.00028072,0.00028072,,0.939022292
44,0.86645,0.47594,1.1306,0.94105,0.92042,0.94876,0.63982,1.2575,0.67719,1.4032,0.00024772,0.00024772,0.00024772,,0.930620683
45,0.87025,0.46914,1.1487,0.93925,0.91919,0.94661,0.63643,1.2475,0.65655,1.3872,0.00021471,0.00021471,0.00021471,,0.929111736
46,0.86177,0.4611,1.1325,0.93951,0.92597,0.94836,0.6376,1.2637,0.65838,1.4148,0.0001817,0.0001817,0.0001817,,0.932690862
47,0.83066,0.45052,1.1248,0.94338,0.91887,0.94898,0.63193,1.2759,0.66706,1.4183,0.0001487,0.0001487,0.0001487,,0.930963706
48,0.8037,0.43352,1.0995,0.95628,0.9243,0.94913,0.64226,1.2704,0.66192,1.3973,0.00011569,0.00011569,0.00011569,,0.940018084
49,0.80623,0.43099,1.0825,0.95788,0.91267,0.95344,0.64229,1.2796,0.6666,1.4031,8.27E-05,8.27E-05,8.27E-05,,0.934728652
50,0.7732,0.42039,1.0786,0.95848,0.9243,0.954,0.64938,1.2887,0.67282,1.4122,4.97E-05,4.97E-05,4.97E-05,,0.941079748
,,,,,,,,,,,,,,,
,,,,0.8404626,0.8252416,0.8580878,0.5202562,1.496946,1.3239352,1.606932,0.000748372,0.000748372,0.000748372,,0.829314605
