                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,,F1-score
41,0.98887,0.66814,1.3803,0.97145,0.85696,0.93923,0.59416,1.304,0.84328,1.6593,0.00034674,0.00034674,0.00034674,,0.910620476
42,0.97436,0.60171,1.3111,0.9794,0.87772,0.93531,0.60651,1.2963,0.80896,1.6512,0.00031373,0.00031373,0.00031373,,0.925776437
43,0.96454,0.57495,1.3197,0.98329,0.88665,0.94735,0.61655,1.3131,0.73414,1.7136,0.00028072,0.00028072,0.00028072,,0.932472784
44,0.90041,0.50326,1.2911,0.99539,0.89208,0.96185,0.62866,1.2712,0.66381,1.6642,0.00024772,0.00024772,0.00024772,,0.940907682
45,0.94721,0.5325,1.3269,0.96275,0.90942,0.95281,0.61436,1.2883,0.68361,1.6597,0.00021471,0.00021471,0.00021471,,0.93532543
46,0.92672,0.50451,1.3082,0.97368,0.90116,0.95446,0.63491,1.247,0.64907,1.6695,0.0001817,0.0001817,0.0001817,,0.93601744
47,0.89213,0.51833,1.3164,0.9618,0.89998,0.95655,0.64224,1.2338,0.64962,1.673,0.0001487,0.0001487,0.0001487,,0.92986364
48,0.87585,0.48406,1.2889,0.92754,0.90704,0.95297,0.64402,1.2226,0.6249,1.6612,0.00011569,0.00011569,0.00011569,,0.917175464
49,0.88208,0.47816,1.2872,0.95389,0.9241,0.95793,0.63653,1.2395,0.61683,1.6783,8.27E-05,8.27E-05,8.27E-05,,0.938758725
50,0.86839,0.47602,1.2772,0.95952,0.92343,0.96533,0.63402,1.2374,0.60682,1.6757,4.97E-05,4.97E-05,4.97E-05,,0.941129136
,,,,,,,,,,,,,,,
,,,,0.7639084,0.7513488,0.7557938,0.4387772,1.676186,3.3387204,2.191456,0.000748372,0.000748372,0.000748372,,0.749772217
