                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,F1-score
41,0.8626,0.73252,1.1086,0.97001,0.89364,0.94947,0.63372,1.2854,0.80691,1.3281,0.00034674,0.00034674,0.00034674,0.930260227
42,0.88318,0.68228,1.1082,0.97333,0.9024,0.94453,0.62616,1.287,0.90976,1.3069,0.00031373,0.00031373,0.00031373,0.936523905
43,0.89029,0.66262,1.11,0.97303,0.92104,0.94663,0.62027,1.2654,0.83956,1.3323,0.00028072,0.00028072,0.00028072,0.946321468
44,0.8614,0.59674,1.1076,0.96447,0.92676,0.94819,0.62693,1.1845,0.74565,1.2868,0.00024772,0.00024772,0.00024772,0.945239043
45,0.86422,0.59716,1.1227,0.95306,0.92712,0.95467,0.63934,1.1858,0.73735,1.2749,0.00021471,0.00021471,0.00021471,0.939911059
46,0.85364,0.58705,1.0993,0.96351,0.9232,0.95183,0.63861,1.1887,0.72574,1.2746,0.0001817,0.0001817,0.0001817,0.942924384
47,0.8048,0.58711,1.0838,0.97472,0.92224,0.95219,0.63068,1.2047,0.72327,1.2835,0.0001487,0.0001487,0.0001487,0.947754062
48,0.81397,0.5615,1.0761,0.96964,0.91473,0.95871,0.63145,1.1808,0.71458,1.2695,0.00011569,0.00011569,0.00011569,0.941384969
49,0.80631,0.56091,1.0575,0.98128,0.92,0.96007,0.63942,1.1729,0.71553,1.2704,8.27E-05,8.27E-05,8.27E-05,0.949652445
50,0.79692,0.55136,1.0646,0.98988,0.91961,0.96135,0.63969,1.1728,0.71518,1.2744,4.97E-05,4.97E-05,4.97E-05,0.953452018
,,,,,,,,,,,,,,
,1.132543,0.9827838,1.280642,0.8645568,0.8087432,0.846453,0.5225582,1.378798,1.1814294,1.450644,0.000748372,0.000748372,0.000748372,0.813847314
